"TimeNum","locType","Ptt","Time","Time_since","Argos_loc_class","Uplink","LON","LAT","mu.x","theta.x","gamma.x","mu.y","theta.y","gamma.y"
983.25,"p",196708,NA,983.25,NA,NA,NA,NA,-7729.35410006001,18.3319802042212,128.919919213142,-621.216206086298,-70.8022258117165,-497.917689746101
983.333333333333,"p",196708,NA,983.333333333333,NA,NA,NA,NA,-7717.08310844189,18.3319802042212,128.919919213142,-668.609532382804,-70.8022258117165,-497.917689746101
983.416666666667,"p",196708,NA,983.416666666667,NA,NA,NA,NA,-7704.81211682377,18.3319802042212,128.919919213142,-716.002858679311,-70.8022258117165,-497.917689746102
983.5,"p",196708,NA,983.5,NA,NA,NA,NA,-7692.54112520567,18.3319802042212,128.919919213142,-763.396184975752,-70.8022258117165,-497.917689746101
983.583333333333,"p",196708,NA,983.583333333333,NA,NA,NA,NA,-7680.27013358755,18.3319802042212,128.919919213142,-810.789511272259,-70.8022258117165,-497.917689746101
983.666666666667,"p",196708,NA,983.666666666667,NA,NA,NA,NA,-7667.99914196943,18.3319802042212,128.919919213142,-858.182837568765,-70.8022258117165,-497.917689746102
983.75,"p",196708,NA,983.75,NA,NA,NA,NA,-7655.72815035133,18.3319802042212,128.919919213142,-905.576163865207,-70.8022258117165,-497.917689746101
983.833333333333,"p",196708,NA,983.833333333333,NA,NA,NA,NA,-7643.45715873321,18.3319802042212,128.919919213142,-952.969490161713,-70.8022258117165,-497.917689746101
983.916666666667,"p",196708,NA,983.916666666667,NA,NA,NA,NA,-7631.18616711509,18.3319802042212,128.919919213142,-1000.36281645822,-70.8022258117165,-497.917689746102
984,"p",196708,NA,984,NA,NA,NA,NA,-7618.91517549699,18.3319802042212,128.919919213142,-1047.75614275466,-70.8022258117165,-497.917689746101
984.083333333333,"p",196708,NA,984.083333333333,NA,NA,NA,NA,-7606.64418387887,18.3319802042213,128.919919213142,-1095.14946905117,-70.8022258117163,-497.9176897461
984.166666666667,"p",196708,NA,984.166666666667,NA,NA,NA,NA,-7594.37319226027,18.3319802123211,128.919919270146,-1142.54279534691,-70.8022257988066,-497.917689655245
984.25,"p",196708,NA,984.25,NA,NA,NA,NA,-7582.10216025537,18.3326644215711,128.924732764599,-1189.93605727347,-70.8011352821832,-497.910017739501
984.333333333333,"p",196708,NA,984.333333333333,NA,NA,NA,NA,-7566.4207036534,76.1294967240623,535.38180044201,-1231.89366524445,21.3174766934257,149.915466988757
984.333333333333,"o",196708,2020-02-16 17:10:00,984.333333333333,"3",1107,-7566.68161168197,-1232.30950958216,-7566.42070365333,76.1294967249568,535.3818004483,-1231.89366524443,21.3174766948514,149.915466998783
